gene,globalScore
DDX5,0.2887050722063491
NFKB2,0.2881398704676199
WIF1,0.2874912145593651
TNFAIP3,0.2874527322688499
FANCA,0.2870994788479493
ETV1,0.2868356989605867
TNFSF13,0.2867073624415774
BAX,0.2859315729991143
RHOH,0.2859175392569505
HOXD13,0.2859114926711981
TRIM27,0.2858165842835061
HMGA1,0.285673676001999
ELF4,0.2856565564245829
MRTFA,0.285587699654066
CEBPA,0.2855526581116027
KLF6,0.2855463184022133
BCL3,0.2853637144281888
PLCG1,0.2850058587530517
SPOP,0.2849460679619051
FOXO4,0.2848543402951937
SDHB,0.2848374012185207
TFEB,0.2846073013153645
SMARCB1,0.2844971822056948
B2M,0.2844452435944882
RANBP2,0.2843859586254897
MAP2K1,0.2841958394261129
BLM,0.2839913200039696
IL4R,0.283907322369002
CD74,0.2838551448720419
ERCC2,0.2837815321059006
TRIM33,0.2837781924784155
REL,0.2836390898702409
RUNX1T1,0.283633439153278
SFRP4,0.2835230063852735
DDX6,0.2835139460250018
PTPN13,0.2834831477037781
STK11,0.2834631969447071
IKZF1,0.2834164180077934
LMO2,0.2830342026489337
DAXX,0.2828233906569393
ELK4,0.2826361938701257
CBFA2T3,0.2825622778991887
PSIP1,0.2825177198517992
LMO1,0.282512195496391
SIX1,0.2824910922485831
CCNE1,0.2822556562633892
BRIP1,0.2821911399370796
ETV5,0.282140753957919
RASA1,0.2821285726457159
PSMA7,0.2821010730388634
MYB,0.2820668578699771
MAP2K2,0.2818046391970851
FUBP1,0.2817969317600646
POLR3B,0.2817956458579546
TSC2,0.2817575859153372
FUS,0.2816795302006413
PAX3,0.2816095831626681
PSMA4,0.2815031988323905
IL7R,0.2814631853330989
TCF3,0.2814407738510158
CCND2,0.2813809915713522
CREB3L1,0.2813529304858038
PER1,0.2812956937961772
CRLF2,0.2812815778989496
RECQL4,0.2811926718403409
CIC,0.2810821713073491
TNFRSF17,0.2810141489523428
H3-3B,0.2808932054026669
BTG1,0.2808903034496775
NFKBIE,0.2808806895603734
NKX2-1,0.2806653034912629
ABL2,0.2806041719663197
KMT2A,0.2806036537709461
RNF43,0.2805983716158225
DICER1,0.280588260556333
MAFB,0.2805566520121214
HRAS,0.2805465915620513
LATS1,0.2804518229373329
CARD11,0.2804187147420174
HOXC11,0.2803805761542354
DDX3X,0.2803108391871537
DNM2,0.2803006300079524
TCF12,0.2802613084405683
AGTR1,0.2801776340819031
NSD2,0.2800953323691683
PSMB3,0.2800251052518179
PBRM1,0.2799567399236616
KDM5A,0.2799159489672291
MYH9,0.2799107702865493
AXIN2,0.2798281593477648
STIL,0.2797544177988612
