symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
JAK2	0.42040599753140545	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	0.45130418239362696	No data	No data	No data	0.3948648681811703	No data	No data	1	1	0	1	1	1	0.6863950000000003	1	-0.20904578047435185	-0.8880064639175258	0	-1	-1	0	-1	-1
PIK3CB	0.41606692526243755	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	0.32900420404599545	No data	No data	0.18411717662097815	No data	No data	No data	0.9317250671998996	No data	No data	0.75	0	0	1	1	0	0.7663550000000001	1	-0.8724765581908439	-0.9227611767728428	0	No data	No data	0	-1	-1
LZTR1	0.41266302449609615	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	0.5592316238181712	No data	No data	No data	No data	No data	No data	0.2511311464033806	No data	No data	No data	0	0	0	0	0	0.75	No data	0.9998896856039714	-0.9410552477341207	0	No data	-1	0	-1	-1
MET	0.4074368782461831	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6037090559615403	No data	No data	No data	0.18126327926552357	No data	No data	No data	0.9270661288931836	No data	No data	1	1	1	1	1	1	0.44604500000000014	1	-0.7445118587975731	-0.9472229089292411	0	-1	-1	0	0.5	0
RUNX1	0.4074363060073243	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	0.31147850735228905	No data	No data	No data	No data	No data	No data	0.9000578613895525	0.19166000575527103	No data	No data	0	0	1	1	1	0.6666649999999997	No data	-0.5274131274131274	-0.9639840616994727	0	No data	No data	-0.109375	0.5	0
FAT1	0.4046729727343042	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6227068933869035	No data	No data	No data	No data	No data	No data	No data	0.8589883737401932	No data	No data	No data	1	0	0	0	0	0.40824	No data	-0.6065085493656922	-0.7277033418081363	0	No data	-1	0	0.5	0
AR	0.40402994993545055	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	0.2933349176775123	No data	No data	No data	No data	No data	No data	0.9111086767348183	0.08663013865965599	No data	1	0	0	1	1	1	0.2826099999999997	1	No data	-0.7350857469360702	0	-1	-1	0	0.5	0
BCR	0.401454560285984	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.34196107365653683	No data	No data	No data	0.5733097330833447	No data	No data	No data	0.07030199173443909	No data	No data	1	1	0	1	1	0	0.69709	0	-0.5575289575289575	-0.6851127004855136	0	No data	No data	0	-1	-1
HIF1A	0.39914290699069155	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	0.9725795245818813	No data	No data	No data	0	0	1	1	0	0.52179	No data	-0.8435741864313293	-0.9647892247849049	0	-1	-1	0	0.5	-1
PRKCB	0.3903817198498396	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	0.5516803118659458	No data	No data	No data	0.489824840481967	0.2873302588460217	No data	1	0	0	1	1	0	0.9405650000000001	0	-0.9295091009376724	-0.19638901909574596	0	-1	No data	-0.5059425000000001	0.5	0
BCOR	0.38918961175019456	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	0.2751998282646221	No data	No data	No data	No data	No data	No data	0.06535256074324927	No data	No data	No data	0	0	1	1	0	0.4472949999999997	No data	No data	-0.7266867888349234	0	No data	-1	0	-1	-1
ERBB4	0.38526464560117335	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	0.18319258030918362	No data	No data	No data	0.74658238123398	0.11256802025793423	No data	1	1	0	1	1	1	0.8662100000000003	No data	-0.8409266409266409	-0.8553760567810827	0	No data	-1	0	0.5	0
ESR1	0.3833230043178998	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	0.16253705352810702	No data	No data	No data	0.8508487964624668	No data	No data	1	0	0	1	1	1	0.4789900000000003	1	-0.734142305570877	-0.9363843084471015	0	-1	-1	0	0.5	0
CHEK2	0.380525895313048	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	0.36010811333625226	No data	No data	0.5	0	0	1	1	1	0.16206000000000031	1	0.6043022614451186	-0.6078789695597772	0	No data	-1	No data	-1	0
FLT4	0.376195381018497	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	0.5020719853115693	No data	No data	No data	0.12392218032892523	No data	No data	1	1	1	1	1	0	0.37270499999999984	0	-0.9127413127413128	-0.9278708665017255	0	-1	-1	0	-1	0
RARA	0.37525014342124524	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	0.14977050677826298	No data	No data	No data	0.44461091543233217	No data	No data	1	0	0	1	1	1	0.91342	0	-0.9211252068394925	-0.7674295287677559	0	-1	No data	-0.2965375000000002	-1	-1
XPO1	0.37522819758202597	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	0.1473387835878165	No data	No data	No data	0.4703433355653557	No data	No data	1	0	0	1	1	0	0.9019599999999997	No data	-0.9977937120794264	-0.5921480333858972	-1	-1	-1	0	-1	-1
TGFBR2	0.37158780227010774	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.800418677862821	0.057494801965036056	No data	No data	1	1	1	1	0	0.6119950000000003	No data	-0.653061224489796	-0.9541533088297407	0	-1	-1	0	-1	-1
ATM	0.3714904675296151	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.8227697580369819	No data	No data	No data	0	0	1	1	0	0.20974999999999966	1	-0.21092112520683948	-0.9367263302218387	0	-1	-1	0	-1	-1
HMGA2	0.3697765362203088	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.7334802320328773	0.07403352482326482	No data	No data	0	0	0	0	0	0.7706400000000002	No data	0.7869829012686156	-0.7207012587769651	0	No data	No data	No data	0.5	0.5
IRS4	0.3695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	No data	No data	-0.21805087018981428	0	No data	-1	0	0.75	0.5
MECOM	0.36954135678317207	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.758646974519502	No data	No data	No data	0	0	0	0	0	0	No data	-0.97573083287369	-0.9738644970493368	0	No data	No data	0	0.5	0
MAML2	0.3678661290602393	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.6451885120219133	0.1312785326651471	No data	No data	0	0	0	0	0	0.1825249999999997	No data	-0.880419194704909	-0.05373224667943238	0	No data	No data	0	-1	-1
LEF1	0.36776770061182035	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.7002963800663184	No data	No data	No data	0	0	0	1	0	0.8621549999999999	No data	-0.7309431880860453	-0.8188679430191487	0	-1	-1	-0.07894749999999995	1	0
NRG1	0.3675964713363858	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.6519505620577485	0.09610342849389243	No data	No data	0	1	0	0	0	0.41405999999999993	No data	-0.7980143408714837	-0.9720919566898253	0	No data	No data	0	0.5	0
SETD2	0.36737541233367965	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.6873906914688064	No data	No data	No data	0	0	1	1	0	0.0386099999999999	1	-0.9694429123000552	-0.8994830921602622	0	No data	-1	0	-1	-1
FLI1	0.36664178108922535	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.6632553376641765	No data	No data	No data	0	0	1	1	0	0.8340699999999999	No data	-0.8307777164920023	-0.9052555223013139	0	No data	No data	-0.17035499999999998	0.5	0
ETV6	0.3655741736958087	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.6281326757555872	No data	No data	No data	0	0	1	1	0	0.4690249999999999	No data	-0.7506894649751793	-0.9435251741011771	0	No data	-1	0	-1	-1
